id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type,sale_price
dewalt-busilica,DeWalt 28V Bušilica Set,"DeWalt 28V bezžična bušilica – komplet set sa baterijama, punjačem i kofercetom. Idealna za profesionalnu upotrebu. Dostava besplatna po BiH.",in stock,new,69.90 BAM,https://cartlybih.store/dewalt-busilica,https://cartlybih.store/images/dewalt.jpg,DeWalt,3243,Alati > Bušilice,
milwaukee-busilica,Milwaukee Bušilica Set,"Milwaukee 18V bezžična bušilica – komplet set sa baterijama i punjačem. Profesionalni alat za svaki posao. Dostava besplatna po BiH.",in stock,new,69.90 BAM,https://cartlybih.store/milwaukee-busilica,https://cartlybih.store/images/milwaukee.png,Milwaukee,3243,Alati > Bušilice,
milwaukee-brusilica,Milwaukee Kutna Brusilica,"Milwaukee kutna brusilica – snažan profesionalni alat za brušenje i rezanje. Dostava besplatna po BiH.",in stock,new,74.90 BAM,https://cartlybih.store/brusilica,https://cartlybih.store/images/brusilica.webp,Milwaukee,3243,Alati > Brusilice,
celicna-cetka-11,Čelična Četka 1+1 GRATIS,"Profesionalna čelična četka za čišćenje roštilja i površina – kupite 1 i dobijete 1 GRATIS! Uštedite 50%. Dostava 10 KM.",in stock,new,24.90 BAM,https://cartlybih.store/celicna-cetka,https://cartlybih.store/celicnacetka.jpeg,Cartly,4166,Kuhinja > Čišćenje roštilja,
kamera-sigurnosna,Sigurnosna Kamera za Dom,"Sigurnosna WiFi kamera visoke rezolucije za unutarnju i vanjsku upotrebu. Noćni vid, detekcija pokreta, aplikacija za nadzor.",in stock,new,129.90 BAM,https://cartlybih.store/kamera,https://cartlybih.store/images/kamere.png,Cartly,156,Sigurnost > Kamere,
masina-za-sisanje,Mašina za Šišanje,"Profesionalna mašina za šišanje kose i brade – punjiva, tiha i precizna. Savršena za kućnu upotrebu.",in stock,new,89.90 BAM,https://cartlybih.store/masina-za-sisanje,https://cartlybih.store/masina1.jpeg,Cartly,5907,Ljepota > Šišanje,
zvucnik-bluetooth,Bluetooth Zvučnik,"Prenosivi Bluetooth zvučnik s kristalno čistim zvukom, dugotrajna baterija, vodootporan dizajn. Idealan za dom i na otvorenom.",in stock,new,59.90 BAM,https://cartlybih.store/zvucnik,https://cartlybih.store/images/zvucnik/zvucnik1.webp,Cartly,6870,Elektronika > Zvučnici,
komarnik-za-vrata,Magnetni Komarnik za Vrata,"Samolepljivi magnetni komarnik za vrata – lako postavljanje bez bušenja, automatsko zatvaranje. Zaustavite insekte!",in stock,new,16.90 BAM,https://cartlybih.store/komarnik-za-vrata,https://cartlybih.store/komarnik/hero.webp,Cartly,2832,Dom > Komarnici,
usmjerivac-zraka,Usmjerivač Zraka Klime,"Podesivi usmjerivač zraka za klimu – usmjerite hladan zrak gdje želite bez direktnog puhanja. Lako postavljanje bez bušenja.",in stock,new,14.90 BAM,https://cartlybih.store/usmjerivac-zraka,https://cartlybih.store/usmjerivac/hero.png,Cartly,670,Dom > Klimatizacija,
radne-patike-s3,Radne Zaštitne Patike S3,"Zaštitne radne cipele S3 standard – čelična kapica, antistatične, otporne na klizanje i ulje. Dostupne u EU veličinama 41-46.",in stock,new,59.90 BAM,https://cartlybih.store/radne-patike,https://cartlybih.store/images/patike-hero.png,Cartly,1604,Obuća > Radne cipele,
